frame,track_id,class,confidence,x1,y1,x2,y2,speed_kmh,violation
29,25,car,0.777,497,372,614,471,,
29,28,car,0.770,743,136,765,153,,
29,30,car,0.760,827,182,871,216,,
29,34,car,0.749,626,145,656,169,,
29,26,car,0.721,376,195,431,232,,
29,32,car,0.667,585,120,608,135,,
29,31,car,0.611,509,124,534,140,,
29,33,car,0.584,494,137,522,158,,
29,36,truck,0.559,463,146,511,194,,
29,37,car,0.524,733,109,753,129,,
29,35,car,0.502,652,91,667,101,,
30,29,car,0.851,783,202,830,239,,
30,27,car,0.785,754,159,784,182,,
30,25,car,0.771,497,372,614,471,,
30,26,car,0.764,376,195,431,232,,
30,28,car,0.759,743,136,765,153,,
30,34,car,0.758,626,145,656,169,,
30,30,car,0.713,827,182,871,216,,
30,32,car,0.671,585,120,608,135,,
30,38,truck,0.593,463,146,511,194,,
30,31,car,0.578,509,124,535,140,,
30,33,car,0.568,494,137,522,158,,
30,35,car,0.481,652,91,667,101,,
30,36,car,0.441,463,146,511,194,,
30,37,car,0.367,734,109,753,129,,
31,29,car,0.834,782,202,828,237,,
31,26,car,0.812,373,196,427,234,,
31,27,car,0.806,753,158,783,181,,
31,30,car,0.806,825,181,868,215,,
31,28,car,0.784,743,135,765,153,,
31,34,car,0.707,628,144,658,168,,
31,32,car,0.685,585,120,606,135,,
31,38,truck,0.593,459,147,508,195,,
31,33,car,0.555,494,138,520,159,,
31,35,car,0.513,652,91,666,101,,
31,31,car,0.501,504,124,533,141,,
31,36,car,0.443,459,147,508,194,,
31,25,truck,0.420,505,363,618,458,,
31,37,car,0.418,734,109,753,128,,
32,25,car,0.844,512,355,623,446,,
32,27,car,0.807,753,157,783,180,,
32,30,car,0.790,823,180,867,213,,
32,29,car,0.788,779,200,827,235,,
32,28,car,0.774,743,135,764,152,,
32,26,car,0.744,368,197,423,236,,
32,34,car,0.712,629,143,659,167,,
32,32,car,0.665,584,120,605,136,,
32,33,car,0.597,490,138,518,160,,
32,31,car,0.594,505,125,532,141,,
32,36,truck,0.577,457,147,507,195,,
32,35,car,0.446,651,91,665,101,,
32,37,car,0.401,734,109,753,128,,
33,26,car,0.860,359,201,415,241,,
33,30,car,0.845,822,178,863,210,,
33,25,car,0.827,526,339,629,424,,
33,29,car,0.812,778,198,825,232,,
33,27,car,0.788,753,156,782,179,,
33,28,car,0.776,743,134,764,152,,
33,34,car,0.749,631,142,660,166,,
33,36,truck,0.739,451,149,502,198,,
33,33,car,0.679,487,139,514,161,,
33,32,car,0.630,581,122,603,137,,
33,31,car,0.461,503,126,529,142,,
33,35,car,0.449,649,91,663,102,,
33,37,car,0.349,734,108,753,128,,
34,26,car,0.860,359,201,415,241,,
34,30,car,0.845,822,178,863,210,,
34,25,car,0.828,526,339,629,424,,
34,29,car,0.811,778,198,825,232,,
34,27,car,0.787,753,156,782,179,,
34,28,car,0.776,743,134,764,152,,
34,34,car,0.750,631,142,660,166,,
34,36,truck,0.739,451,149,502,198,,
34,33,car,0.678,487,139,514,161,,
34,32,car,0.630,581,122,603,137,,
34,31,car,0.461,503,126,529,142,,
34,35,car,0.449,649,91,663,102,,
34,37,car,0.347,734,108,753,128,,
35,26,car,0.855,353,203,411,244,,
35,25,car,0.832,532,331,632,415,,
35,28,car,0.782,743,134,763,151,,
35,30,car,0.757,819,176,861,209,,
35,27,car,0.700,752,155,781,177,,
35,36,truck,0.691,448,149,500,199,,
35,29,car,0.673,776,196,822,230,,
35,34,car,0.616,631,142,661,164,,
35,32,car,0.581,581,122,602,137,,
35,33,car,0.553,481,140,511,162,,
35,35,car,0.490,648,91,662,102,,
35,37,car,0.379,734,108,753,127,,
35,31,car,0.329,500,127,527,143,,
36,26,car,0.855,353,203,411,244,,
36,25,car,0.829,532,331,632,415,,
36,28,car,0.782,743,134,763,151,,
36,30,car,0.740,819,176,861,209,,
36,27,car,0.729,752,155,781,177,,
36,36,truck,0.692,448,149,500,199,,
36,29,car,0.674,776,196,822,230,,
36,34,car,0.636,631,142,661,165,,
36,32,car,0.603,581,122,602,137,,
36,33,car,0.549,481,140,511,162,,
36,35,car,0.490,648,91,662,102,,
36,37,car,0.374,734,108,753,127,,
36,31,car,0.327,501,127,527,143,,
37,26,car,0.859,349,205,406,246,,
37,29,car,0.787,775,193,822,228,,
37,28,car,0.787,742,134,763,151,,
37,25,car,0.771,538,324,635,405,,
37,30,car,0.717,818,176,859,208,,
37,27,car,0.704,752,154,781,177,,
37,32,car,0.666,580,122,602,138,,
37,36,truck,0.651,446,149,497,201,,
37,34,car,0.535,633,141,662,164,,
37,33,car,0.526,480,141,509,163,,
37,35,car,0.367,648,91,662,102,,
37,37,car,0.355,734,107,753,127,,
37,31,car,0.293,499,129,523,144,,
38,26,car,0.879,343,206,402,248,,
38,25,car,0.783,543,318,638,396,,
38,28,car,0.782,742,133,763,150,,
38,29,car,0.776,775,193,821,226,,
38,30,car,0.760,818,175,858,206,,
38,27,car,0.738,751,154,780,176,,
38,32,car,0.721,578,123,600,138,,
38,34,car,0.706,634,140,661,163,,
38,38,car,0.566,443,151,495,202,,
38,36,truck,0.517,443,151,495,202,,
38,35,car,0.398,647,92,661,102,,
38,37,car,0.347,734,107,753,127,,
38,31,car,0.329,498,129,524,144,,
38,33,car,0.312,477,141,507,163,,
39,25,car,0.857,549,312,640,387,,
39,26,car,0.849,338,208,398,251,,
39,29,car,0.766,773,192,821,225,,
39,28,car,0.761,742,133,763,150,,
39,27,car,0.737,751,153,780,175,,
39,32,car,0.728,577,123,599,139,,
39,30,car,0.714,819,174,856,204,,
39,34,car,0.647,635,139,663,162,,
39,33,car,0.588,474,142,504,164,,
39,38,car,0.576,439,152,492,203,,
39,35,car,0.485,647,92,660,102,,
39,36,truck,0.458,440,152,492,204,,
39,37,car,0.370,735,107,753,126,,
39,31,car,0.318,497,129,523,144,,
40,26,car,0.864,333,211,393,253,,
40,25,car,0.783,554,305,643,379,,
40,29,car,0.762,772,191,817,223,,
40,30,car,0.752,814,173,855,203,,
40,27,car,0.751,750,152,780,174,,
40,28,car,0.739,742,132,763,149,,
40,32,car,0.668,576,123,598,139,,
40,34,car,0.639,636,137,664,161,,
40,33,car,0.511,472,143,502,165,,
40,35,car,0.380,646,92,659,102,,
40,31,car,0.281,496,130,519,145,,
41,26,car,0.865,327,212,389,256,,
41,29,car,0.788,771,189,815,221,,
41,30,car,0.748,814,171,853,202,,
41,27,car,0.736,750,152,778,173,,
41,34,car,0.731,637,137,664,160,,
41,28,car,0.686,742,132,762,149,,
41,25,car,0.681,559,300,646,371,,
41,32,car,0.656,575,124,597,140,,
41,36,truck,0.557,433,155,487,206,,
41,31,car,0.413,494,129,520,145,,
41,33,car,0.407,463,142,500,166,,
41,35,car,0.343,645,92,658,102,,
41,37,car,0.251,735,107,753,126,,
42,26,car,0.865,327,212,389,256,,
42,29,car,0.783,771,189,815,221,,
42,30,car,0.746,814,171,853,202,,
42,27,car,0.737,751,152,778,173,,
42,34,car,0.729,637,137,664,160,,
42,28,car,0.688,742,132,762,149,,
42,25,car,0.675,559,300,646,371,,
42,32,car,0.655,575,124,597,140,,
42,36,truck,0.564,433,155,487,207,,
42,31,car,0.413,494,129,520,145,,
42,33,car,0.405,463,142,500,166,,
42,35,car,0.342,645,92,658,102,,
43,26,car,0.842,321,215,384,259,,
43,29,car,0.782,770,188,813,220,,
43,27,car,0.740,750,152,778,173,,
43,30,car,0.730,812,169,851,201,,
43,32,car,0.724,573,124,596,141,,
43,34,car,0.721,638,136,665,159,,
43,28,car,0.702,742,131,762,148,,
43,25,car,0.672,563,295,648,364,,
43,33,car,0.589,459,144,497,167,,
43,36,truck,0.457,430,155,484,208,,
43,31,car,0.377,493,129,517,145,,
43,35,car,0.368,644,92,658,102,,
44,26,car,0.864,315,217,379,261,,
44,29,car,0.845,769,185,812,218,,
44,25,car,0.800,567,289,650,357,,
44,32,car,0.743,573,125,595,142,,
44,28,car,0.734,742,131,762,148,,
44,30,car,0.724,812,169,849,200,,
44,27,car,0.707,750,151,777,172,,
44,34,car,0.704,639,136,666,159,,
44,33,car,0.628,453,144,494,167,,
44,31,car,0.617,491,129,517,146,,
44,36,truck,0.477,426,155,482,209,,
44,37,car,0.368,734,105,753,125,,
44,35,car,0.349,643,92,657,102,,
45,25,car,0.855,572,285,652,350,,
45,26,car,0.853,310,219,374,264,,
45,29,car,0.837,768,185,812,217,,
45,30,car,0.792,810,168,848,199,,
45,27,car,0.790,750,151,777,172,,
45,28,car,0.755,742,131,762,148,,
45,34,car,0.713,640,135,666,158,,
45,32,car,0.692,571,126,594,142,,
45,33,car,0.669,452,145,492,168,,
45,31,car,0.611,489,129,515,147,,
45,36,car,0.526,422,157,479,211,,
45,37,car,0.478,734,105,753,125,,
45,35,car,0.451,642,92,656,102,,
45,39,car,0.389,754,95,766,104,,
46,26,car,0.868,303,221,369,267,,
46,25,car,0.821,575,278,655,344,,
46,29,car,0.812,768,185,810,216,,
46,30,car,0.796,809,168,846,197,,
46,27,car,0.763,749,150,776,171,,
46,28,car,0.733,742,130,762,147,,
46,34,car,0.712,641,135,667,157,,
46,32,car,0.694,569,126,592,142,,
46,33,car,0.687,450,146,488,169,,
46,31,car,0.657,488,129,514,147,,
46,36,truck,0.524,419,158,477,213,,
46,37,car,0.518,734,103,753,125,,
46,35,car,0.364,641,93,656,102,,
47,26,car,0.868,296,223,364,270,,
47,25,car,0.830,579,275,656,337,,
47,29,car,0.821,767,184,809,214,,
47,31,car,0.777,486,129,512,148,,
47,27,car,0.776,749,150,776,170,,
47,28,car,0.747,741,130,761,147,,
47,34,car,0.735,641,135,668,156,,
47,30,car,0.714,807,167,845,196,,
47,33,car,0.704,449,147,485,170,,
47,32,car,0.665,569,127,592,143,,
47,37,car,0.555,734,103,753,125,,
47,36,car,0.400,415,159,474,214,,
47,35,car,0.387,641,92,655,102,,
47,39,car,0.315,755,94,768,104,,
48,26,car,0.864,296,224,364,270,,
48,29,car,0.819,767,184,809,214,,
48,25,car,0.810,579,275,656,337,,
48,27,car,0.781,749,150,776,170,,
48,31,car,0.772,486,129,512,148,,
48,28,car,0.747,741,130,761,147,,
48,34,car,0.720,641,135,668,156,,
48,30,car,0.710,807,167,845,196,,
48,33,car,0.691,449,147,486,170,,
48,32,car,0.661,570,127,592,143,,
48,37,car,0.562,734,103,753,125,,
48,36,truck,0.447,415,159,474,214,,
48,40,car,0.398,415,159,474,214,,
48,35,car,0.380,641,92,655,102,,
48,39,car,0.320,755,94,768,104,,
49,26,car,0.868,290,226,359,273,,
49,25,car,0.859,583,271,658,332,,
49,29,car,0.811,767,183,807,213,,
49,27,car,0.764,749,149,776,169,,
49,30,car,0.763,806,167,844,196,,
49,28,car,0.744,741,129,761,146,,
49,34,car,0.720,642,134,668,155,,
49,32,car,0.699,567,127,590,143,,
49,31,car,0.694,484,131,511,148,,
49,33,car,0.672,447,148,483,170,,
49,37,car,0.581,734,104,753,125,,
49,36,car,0.472,412,160,471,216,,
49,40,truck,0.438,412,160,471,216,,
49,35,car,0.411,640,92,653,102,,
49,39,car,0.354,755,94,768,104,,
50,26,car,0.884,283,228,353,276,,
50,25,car,0.836,586,267,659,326,,
50,29,car,0.819,766,182,805,212,,
50,30,car,0.757,805,166,842,194,,
50,31,car,0.747,482,131,509,149,,
50,34,car,0.743,643,134,669,155,,
50,27,car,0.738,748,148,775,168,,
50,33,car,0.724,445,147,479,172,,
50,28,car,0.719,741,129,760,145,,
50,32,car,0.694,565,128,590,144,,
50,37,car,0.525,734,104,753,125,,
50,36,truck,0.502,409,162,469,218,,
50,40,car,0.488,409,161,469,218,,
50,35,car,0.438,639,92,653,103,,
51,29,car,0.831,765,181,804,210,,
51,26,car,0.831,276,231,348,279,,
51,25,car,0.818,589,263,663,321,,
51,30,car,0.791,804,165,841,193,,
51,27,car,0.752,748,148,774,168,,
51,31,car,0.751,480,131,507,149,,
51,33,car,0.729,440,148,477,173,,
51,28,car,0.716,741,129,760,145,,
51,32,car,0.655,564,128,588,145,,
51,34,car,0.621,645,133,669,154,,
51,36,truck,0.587,405,162,466,219,,
51,37,car,0.493,734,103,753,124,,
51,35,car,0.446,639,93,653,104,,
51,39,car,0.289,756,94,770,104,,
52,26,car,0.875,269,233,341,284,,
52,25,car,0.846,592,259,664,316,,
52,29,car,0.823,764,179,803,209,,
52,31,car,0.794,479,132,506,150,,
52,30,car,0.766,804,164,839,192,,
52,33,car,0.738,436,148,473,173,,
52,32,car,0.727,564,128,587,145,,
52,27,car,0.710,748,147,773,167,,
52,28,car,0.708,741,128,760,144,,
52,34,car,0.657,645,133,670,153,,
52,36,truck,0.627,401,163,462,221,,
52,37,car,0.475,734,104,753,124,,
52,35,car,0.459,637,93,652,104,,
52,39,car,0.352,757,94,769,104,,
53,26,car,0.888,262,236,336,287,,
53,25,car,0.872,596,255,665,311,,
53,29,car,0.791,763,178,803,207,,
53,31,car,0.771,477,132,504,151,,
53,27,car,0.751,747,147,773,167,,
53,30,car,0.738,803,164,838,191,,
53,28,car,0.733,741,128,760,144,,
53,32,car,0.715,559,129,586,146,,
53,33,car,0.676,436,149,472,174,,
53,34,car,0.618,646,132,671,152,,
53,36,truck,0.547,398,163,459,223,,
53,37,car,0.483,734,102,753,124,,
53,35,car,0.378,637,92,651,103,,
53,39,car,0.308,757,94,769,104,,
54,26,car,0.886,262,236,336,287,,
54,25,car,0.874,596,255,665,311,,
54,29,car,0.788,763,178,802,207,,
54,31,car,0.779,477,132,504,151,,
54,27,car,0.751,748,147,773,167,,
54,30,car,0.734,803,164,838,191,,
54,28,car,0.732,741,128,760,144,,
54,32,car,0.718,561,129,586,146,,
54,33,car,0.676,436,149,472,174,,
54,34,car,0.646,646,132,671,152,,
54,36,truck,0.563,398,163,459,223,,
54,37,car,0.488,734,102,753,124,,
54,41,car,0.424,682,88,696,97,,
54,35,car,0.405,636,92,651,103,,
54,39,car,0.311,757,94,769,104,,
55,26,car,0.875,254,239,329,291,,
55,25,car,0.839,598,251,666,307,,
55,29,car,0.814,763,177,802,206,,
55,30,car,0.784,802,162,836,190,,
55,31,car,0.771,473,133,503,151,,
55,27,car,0.756,747,146,773,166,,
55,34,car,0.737,647,132,671,152,,
55,33,car,0.711,428,150,467,176,,
55,28,car,0.709,741,128,760,144,,
55,32,car,0.655,560,129,585,147,,
55,37,car,0.518,735,103,753,123,,
55,36,truck,0.517,393,164,456,225,,
55,35,car,0.466,636,92,651,103,,
55,41,car,0.411,681,88,696,97,,
55,40,car,0.288,393,164,456,224,,
56,26,car,0.870,246,241,323,295,,
56,25,car,0.827,601,247,668,302,,
56,29,car,0.824,762,177,800,205,,
56,30,car,0.798,800,162,835,189,,
56,31,car,0.752,471,133,502,152,,
56,28,car,0.729,741,128,759,143,,
56,32,car,0.724,558,130,583,148,,
56,27,car,0.702,747,146,772,165,,
56,33,car,0.690,427,151,464,176,,
56,34,car,0.648,648,131,672,151,,
56,40,truck,0.542,389,165,453,227,,
56,37,car,0.450,735,103,753,123,,
56,35,car,0.432,635,93,650,104,,
56,41,car,0.377,681,88,695,97,,
57,26,car,0.852,238,244,316,299,,
57,29,car,0.847,760,176,801,204,,
57,25,car,0.807,604,244,669,297,,
57,30,car,0.789,798,161,834,188,,
57,32,car,0.753,557,130,583,148,,
57,31,car,0.728,470,133,500,152,,
57,28,car,0.695,741,127,759,143,,
57,33,car,0.688,425,151,460,178,,
57,27,car,0.684,747,145,772,165,,
57,34,car,0.647,648,131,672,151,,
57,35,car,0.511,633,93,649,104,,
57,36,truck,0.483,385,165,450,229,,
57,37,car,0.465,735,103,752,122,,
57,40,car,0.417,385,165,450,229,,
57,41,car,0.344,680,88,693,98,,
58,26,car,0.880,230,247,310,302,,
58,29,car,0.821,760,175,801,202,,
58,27,car,0.787,746,144,771,164,,
58,25,car,0.747,607,241,670,293,,
58,30,car,0.740,797,160,832,187,,
58,28,car,0.721,741,127,759,143,,
58,33,car,0.706,421,152,457,178,,
58,32,car,0.702,556,130,581,148,,
58,31,car,0.678,467,133,497,153,,
58,34,car,0.671,649,130,673,150,,
58,35,car,0.571,633,94,648,105,,
58,37,car,0.507,734,102,752,122,,
58,41,car,0.321,679,88,693,98,,
59,26,car,0.888,220,250,303,307,,
59,29,car,0.811,759,173,797,201,,
59,42,car,0.798,1096,633,1280,717,,
59,25,car,0.786,609,234,671,289,,
59,27,car,0.776,746,144,771,164,,
59,30,car,0.754,796,160,831,186,,
59,28,car,0.747,740,127,759,142,,
59,31,car,0.677,465,135,495,154,,
59,32,car,0.675,554,131,580,149,,
59,34,car,0.671,650,129,674,149,,
59,33,car,0.590,415,153,453,179,,
59,36,car,0.562,377,167,443,233,,
59,37,car,0.530,734,102,752,122,,
59,35,car,0.493,633,94,648,104,,
59,39,car,0.386,759,92,771,103,,
59,41,car,0.382,678,88,692,99,,
60,26,car,0.889,220,250,303,307,,
60,29,car,0.808,759,174,797,201,,
60,25,car,0.788,609,235,671,289,,
60,27,car,0.773,746,144,771,164,,
60,30,car,0.754,796,160,831,186,,
60,42,car,0.739,1096,633,1280,718,,
60,28,car,0.735,740,127,759,142,,
60,31,car,0.677,465,135,495,154,,
60,32,car,0.673,554,131,580,149,,
60,34,car,0.670,650,129,674,149,,
60,33,car,0.591,415,153,453,179,,
60,36,car,0.561,377,167,443,233,,
60,37,car,0.520,734,102,752,122,,
60,35,car,0.512,633,93,648,104,,
60,41,car,0.390,678,88,692,99,,
60,39,car,0.385,759,93,771,103,,
61,26,car,0.906,211,253,296,311,,
61,29,car,0.800,759,173,796,200,,
61,25,car,0.792,611,234,672,286,,
61,30,car,0.786,796,159,830,184,,
61,27,car,0.768,745,143,771,163,,
61,32,car,0.748,553,131,578,150,,
61,28,car,0.730,740,127,759,142,,
61,42,car,0.722,1082,614,1274,690,,
61,31,car,0.706,464,135,493,154,,
61,34,car,0.681,650,129,674,149,,
61,33,car,0.670,410,154,450,180,,
61,36,car,0.566,372,169,440,235,,
61,37,car,0.515,735,103,752,122,,
61,35,car,0.478,632,94,646,104,,
61,41,car,0.405,677,88,691,99,,
61,39,car,0.353,759,93,772,103,,
62,26,car,0.881,202,257,288,316,,
62,25,car,0.851,613,232,674,282,,
62,27,car,0.805,745,143,770,162,,
62,30,car,0.789,795,158,828,184,,
62,29,car,0.779,758,171,794,199,,
62,28,car,0.727,740,126,759,142,,
62,32,car,0.725,551,132,577,150,,
62,31,car,0.714,461,136,491,155,,
62,42,car,0.712,1070,592,1271,717,,
62,33,car,0.679,402,155,446,182,,
62,34,car,0.677,651,128,675,149,,
62,36,truck,0.605,368,170,436,237,,
62,35,car,0.455,632,94,646,104,,
62,37,car,0.446,735,101,752,121,,
62,41,car,0.408,677,89,691,99,,
62,39,car,0.254,759,93,772,102,,
63,26,car,0.894,192,260,281,321,,
